,Name,Data Type,Task Type,Attribute Types,Number of Instances,Number of Attributes,Year
0,Abalone,Multivariate ,Classification ,"Categorical, Integer, Real ",4177 ,8 ,1995 
1,Adult,Multivariate ,Classification ,"Categorical, Integer ",48842 ,14 ,1996 
2,Annealing,Multivariate ,Classification ,"Categorical, Integer, Real ",798 ,38 , 
3,Anonymous Microsoft Web Data, ,Recommender-Systems ,Categorical ,37711 ,294 ,1998 
4,Arrhythmia,Multivariate ,Classification ,"Categorical, Integer, Real ",452 ,279 ,1998 
5,Artificial Characters,Multivariate ,Classification ,"Categorical, Integer, Real ",6000 ,7 ,1992 
6,Audiology (Original),Multivariate ,Classification ,Categorical ,226 , ,1987 
7,Audiology (Standardized),Multivariate ,Classification ,Categorical ,226 ,69 ,1992 
8,Auto MPG,Multivariate ,Regression ,"Categorical, Real ",398 ,8 ,1993 
9,Automobile,Multivariate ,Regression ,"Categorical, Integer, Real ",205 ,26 ,1987 
10,Badges,"Univariate, Text ",Classification , ,294 ,1 ,1994 
11,Balance Scale,Multivariate ,Classification ,Categorical ,625 ,4 ,1994 
12,Balloons,Multivariate ,Classification ,Categorical ,16 ,4 , 
13,Breast Cancer,Multivariate ,Classification ,Categorical ,286 ,9 ,1988 
14,Breast Cancer Wisconsin (Original),Multivariate ,Classification ,Integer ,699 ,10 ,1992 
15,Breast Cancer Wisconsin (Prognostic),Multivariate ,"Classification, Regression ",Real ,198 ,34 ,1995 
16,Breast Cancer Wisconsin (Diagnostic),Multivariate ,Classification ,Real ,569 ,32 ,1995 
17,Pittsburgh Bridges,Multivariate ,Classification ,"Categorical, Integer ",108 ,13 ,1990 
18,Car Evaluation,Multivariate ,Classification ,Categorical ,1728 ,6 ,1997 
19,Census Income,Multivariate ,Classification ,"Categorical, Integer ",48842 ,14 ,1996 
20,Chess (King-Rook vs. King-Knight),"Multivariate, Data-Generator ",Classification ,"Categorical, Integer ", ,22 ,1988 
21,Chess (King-Rook vs. King-Pawn),Multivariate ,Classification ,Categorical ,3196 ,36 ,1989 
22,Chess (King-Rook vs. King),Multivariate ,Classification ,"Categorical, Integer ",28056 ,6 ,1994 
23,Chess (Domain Theories),Domain-Theory , , , , , 
24,Bach Chorales,"Univariate, Time-Series ", ,"Categorical, Integer ",100 ,6 , 
25,Connect-4,"Multivariate, Spatial ",Classification ,Categorical ,67557 ,42 ,1995 
26,Credit Approval,Multivariate ,Classification ,"Categorical, Integer, Real ",690 ,15 , 
27,Japanese Credit Screening,"Multivariate, Domain-Theory ",Classification ,"Categorical, Real, Integer ",125 , ,1992 
28,Computer Hardware,Multivariate ,Regression ,Integer ,209 ,9 ,1987 
29,Contraceptive Method Choice,Multivariate ,Classification ,"Categorical, Integer ",1473 ,9 ,1997 
30,Covertype,Multivariate ,Classification ,"Categorical, Integer ",581012 ,54 ,1998 
31,Cylinder Bands,Multivariate ,Classification ,"Categorical, Integer, Real ",512 ,39 ,1995 
32,Dermatology,Multivariate ,Classification ,"Categorical, Integer ",366 ,33 ,1998 
33,Diabetes,"Multivariate, Time-Series ", ,"Categorical, Integer ", ,20 , 
34,DGP2 - The Second Data Generation Program,Data-Generator , ,Real , , , 
35,Document Understanding, , , , , ,1994 
36,EBL Domain Theories, , , , , , 
37,Echocardiogram,Multivariate ,Classification ,"Categorical, Integer, Real ",132 ,12 ,1989 
38,Ecoli,Multivariate ,Classification ,Real ,336 ,8 ,1996 
39,Flags,Multivariate ,Classification ,"Categorical, Integer ",194 ,30 ,1990 
40,Function Finding, ,Function-Learning ,Real ,352 , ,1990 
41,Glass Identification,Multivariate ,Classification ,Real ,214 ,10 ,1987 
42,Haberman's Survival,Multivariate ,Classification ,Integer ,306 ,3 ,1999 
43,Hayes-Roth,Multivariate ,Classification ,Categorical ,160 ,5 ,1989 
44,Heart Disease,Multivariate ,Classification ,"Categorical, Integer, Real ",303 ,75 ,1988 
45,Hepatitis,Multivariate ,Classification ,"Categorical, Integer, Real ",155 ,19 ,1988 
46,Horse Colic,Multivariate ,Classification ,"Categorical, Integer, Real ",368 ,27 ,1989 
47,ICU,"Multivariate, Time-Series ", ,Real , , , 
48,Image Segmentation,Multivariate ,Classification ,Real ,2310 ,19 ,1990 
49,Internet Advertisements,Multivariate ,Classification ,"Categorical, Integer, Real ",3279 ,1558 ,1998 
50,Ionosphere,Multivariate ,Classification ,"Integer, Real ",351 ,34 ,1989 
51,Iris,Multivariate ,Classification ,Real ,150 ,4 ,1988 
52,ISOLET,Multivariate ,Classification ,Real ,7797 ,617 ,1994 
53,Kinship,Relational ,Relational-Learning ,Categorical ,104 ,12 ,1990 
54,Labor Relations,Multivariate , ,"Categorical, Integer, Real ",57 ,16 ,1988 
55,LED Display Domain,"Multivariate, Data-Generator ",Classification ,Categorical , ,7 ,1988 
56,Lenses,Multivariate ,Classification ,Categorical ,24 ,4 ,1990 
57,Letter Recognition,Multivariate ,Classification ,Integer ,20000 ,16 ,1991 
58,Liver Disorders,Multivariate , ,"Categorical, Integer, Real ",345 ,7 ,1990 
59,Logic Theorist,Domain-Theory , , , , , 
60,Lung Cancer,Multivariate ,Classification ,Integer ,32 ,56 ,1992 
61,Lymphography,Multivariate ,Classification ,Categorical ,148 ,18 ,1988 
62,Mechanical Analysis,Multivariate ,Classification ,"Categorical, Integer, Real ",209 ,8 ,1990 
63,Meta-data,Multivariate ,Classification ,"Categorical, Integer, Real ",528 ,22 ,1996 
64,Mobile Robots,Domain-Theory , ,"Categorical, Integer, Real ", , ,1995 
65,Molecular Biology (Promoter Gene Sequences),"Sequential, Domain-Theory ",Classification ,Categorical ,106 ,58 ,1990 
66,Molecular Biology (Protein Secondary Structure),Sequential ,Classification ,Categorical ,128 , , 
67,Molecular Biology (Splice-junction Gene Sequences),"Sequential, Domain-Theory ",Classification ,Categorical ,3190 ,61 ,1992 
68,MONK's Problems,Multivariate ,Classification ,Categorical ,432 ,7 ,1992 
69,Moral Reasoner,Domain-Theory , , ,202 , ,1994 
70,Multiple Features,Multivariate ,Classification ,"Integer, Real ",2000 ,649 , 
71,Mushroom,Multivariate ,Classification ,Categorical ,8124 ,22 ,1987 
72,Musk (Version 1),Multivariate ,Classification ,Integer ,476 ,168 ,1994 
73,Musk (Version 2),Multivariate ,Classification ,Integer ,6598 ,168 ,1994 
74,Nursery,Multivariate ,Classification ,Categorical ,12960 ,8 ,1997 
75,Othello Domain Theory,Domain-Theory , , , , ,1991 
76,Page Blocks Classification,Multivariate ,Classification ,"Integer, Real ",5473 ,10 ,1995 
77,Optical Recognition of Handwritten Digits,Multivariate ,Classification ,Integer ,5620 ,64 ,1998 
78,Pen-Based Recognition of Handwritten Digits,Multivariate ,Classification ,Integer ,10992 ,16 ,1998 
79,Post-Operative Patient,Multivariate ,Classification ,"Categorical, Integer ",90 ,8 ,1993 
80,Primary Tumor,Multivariate ,Classification ,Categorical ,339 ,17 ,1988 
81,Prodigy,Domain-Theory , , , , , 
82,Qualitative Structure Activity Relationships,Domain-Theory , , , , , 
83,Quadruped Mammals,"Multivariate, Data-Generator ",Classification ,Real , ,72 ,1992 
84,Servo,Multivariate ,Regression ,"Categorical, Integer ",167 ,4 ,1993 
85,Shuttle Landing Control,Multivariate ,Classification ,Categorical ,15 ,6 ,1988 
86,Solar Flare,Multivariate ,Regression ,Categorical ,1389 ,10 ,1989 
87,Soybean (Large),Multivariate ,Classification ,Categorical ,307 ,35 ,1988 
88,Soybean (Small),Multivariate ,Classification ,Categorical ,47 ,35 ,1987 
89,Challenger USA Space Shuttle O-Ring,Multivariate ,Regression ,Integer ,23 ,4 ,1993 
90,Low Resolution Spectrometer,Multivariate ,Classification ,"Integer, Real ",531 ,102 ,1988 
91,Spambase,Multivariate ,Classification ,"Integer, Real ",4601 ,57 ,1999 
92,SPECT Heart,Multivariate ,Classification ,Categorical ,267 ,22 ,2001 
93,SPECTF Heart,Multivariate ,Classification ,Integer ,267 ,44 ,2001 
94,Sponge,Multivariate ,Clustering ,"Categorical, Integer ",76 ,45 , 
95,Statlog Project, , , , , ,1992 
96,Student Loan Relational,Domain-Theory , , ,1000 , ,1993 
97,Teaching Assistant Evaluation,Multivariate ,Classification ,"Categorical, Integer ",151 ,5 ,1997 
98,Tic-Tac-Toe Endgame,Multivariate ,Classification ,Categorical ,958 ,9 ,1991 
99,Thyroid Disease,"Multivariate, Domain-Theory ",Classification ,"Categorical, Real ",7200 ,21 ,1987 
100,Trains,Multivariate ,Classification ,Categorical ,10 ,32 ,1994 
101,University,Multivariate ,Classification ,"Categorical, Integer ",285 ,17 ,1988 
102,Congressional Voting Records,Multivariate ,Classification ,Categorical ,435 ,16 ,1987 
103,Water Treatment Plant,Multivariate ,Clustering ,"Integer, Real ",527 ,38 ,1993 
104,Waveform Database Generator (Version 1),"Multivariate, Data-Generator ",Classification ,Real ,5000 ,21 ,1988 
105,Waveform Database Generator (Version 2),"Multivariate, Data-Generator ",Classification ,Real ,5000 ,40 ,1988 
106,Wine,Multivariate ,Classification ,"Integer, Real ",178 ,13 ,1991 
107,Yeast,Multivariate ,Classification ,Real ,1484 ,8 ,1996 
108,Zoo,Multivariate ,Classification ,"Categorical, Integer ",101 ,17 ,1990 
109,Undocumented, , , , , , 
110,Twenty Newsgroups,Text , , ,20000 , ,1999 
111,Australian Sign Language signs,"Multivariate, Time-Series ",Classification ,"Categorical, Real ",6650 ,15 ,1999 
112,Australian Sign Language signs (High Quality),"Multivariate, Time-Series ",Classification ,Real ,2565 ,22 ,2002 
113,US Census Data (1990),Multivariate ,Clustering ,Categorical ,2458285 ,68 , 
114,Census-Income (KDD),Multivariate ,Classification ,"Categorical, Integer ",299285 ,40 ,2000 
115,Coil 1999 Competition Data,Multivariate , ,"Categorical, Real ",340 ,17 ,1999 
116,Corel Image Features,Multivariate , ,Real ,68040 ,89 ,1999 
117,E. Coli Genes,Relational , , , , ,2001 
118,EEG Database,"Multivariate, Time-Series ", ,"Categorical, Integer, Real ",122 ,4 ,1999 
119,El Nino,Spatio-temporal , ,"Integer, Real ",178080 ,12 ,1999 
