,Name,Data Type,Task Type,Attribute Types,Number of Instances,Number of Attributes,Year
193,AutoUniv,Multivariate ,Classification ,"Categorical, Integer, Real ", , ,2010 
194,Steel Plates Faults,Multivariate ,Classification ,"Integer, Real ",1941 ,27 ,2010 
195,MiniBooNE particle identification,Multivariate ,Classification ,Real ,130065 ,50 ,2010 
196,YearPredictionMSD,Multivariate ,Regression ,Real ,515345 ,90 ,2011 
197,PEMS-SF,"Multivariate, Time-Series ",Classification ,Real ,440 ,138672 ,2011 
198,OpinRank Review Dataset,Text , , , , ,2011 
199,Relative location of CT slices on axial axis,Domain-Theory ,Regression ,Real ,53500 ,386 ,2011 
200,Online Handwritten Assamese Characters Dataset,"Multivariate, Sequential ",Classification ,Integer ,8235 , ,2011 
201,PubChem Bioassay Data,Multivariate ,Classification ,"Integer, Real ", , ,2011 
202,Record Linkage Comparison Patterns,Multivariate ,Classification ,Real ,5749132 ,12 ,2011 
203,Communities and Crime Unnormalized,Multivariate ,Regression ,Real ,2215 ,147 ,2011 
204,Vertebral Column,Multivariate ,Classification ,Real ,310 ,6 ,2011 
205,EMG Physical Action Data Set,Time-Series ,Classification ,Real ,10000 ,8 ,2011 
206,Vicon Physical Action Data Set,Time-Series ,Classification ,Real ,3000 ,27 ,2011 
207,Amazon Commerce reviews set,"Multivariate, Text, Domain-Theory ",Classification ,Real ,1500 ,10000 ,2011 
208,Amazon Access Samples,"Time-Series, Domain-Theory ","Regression, Clustering, Causal-Discovery ", ,30000 ,20000 ,2011 
209,Reuter_50_50,"Multivariate, Text, Domain-Theory ","Classification, Clustering ",Real ,2500 ,10000 ,2011 
210,Farm Ads,Text ,Classification , ,4143 ,54877 ,2011 
211,DBWorld e-mails,Text ,Classification , ,64 ,4702 ,2011 
212,KEGG Metabolic Relation Network (Directed),"Multivariate, Univariate, Text ","Classification, Regression, Clustering ","Integer, Real ",53414 ,24 ,2011 
213,KEGG Metabolic Reaction Network (Undirected),"Multivariate, Univariate, Text ","Classification, Regression, Clustering ","Integer, Real ",65554 ,29 ,2011 
214,Bank Marketing,Multivariate ,Classification ,Real ,45211 ,17 ,2012 
215,YouTube Comedy Slam Preference Data,Text ,Classification , ,1138562 ,3 ,2012 
216,Gas Sensor Array Drift Dataset,Multivariate ,Classification ,Real ,13910 ,128 ,2012 
217,ILPD (Indian Liver Patient Dataset),Multivariate ,Classification ,"Integer, Real ",583 ,10 ,2012 
218,OPPORTUNITY Activity Recognition,"Multivariate, Time-Series ",Classification ,Real ,2551 ,242 ,2012 
219,Nomao,Univariate ,Classification ,Real ,34465 ,120 ,2012 
220,SMS Spam Collection,"Multivariate, Text, Domain-Theory ","Classification, Clustering ",Real ,5574 , ,2012 
221,Skin Segmentation,Univariate ,Classification ,Real ,245057 ,4 ,2012 
222,Planning Relax,Univariate ,Classification ,Real ,182 ,13 ,2012 
223,PAMAP2 Physical Activity Monitoring,"Multivariate, Time-Series ",Classification ,Real ,3850505 ,52 ,2012 
224,Restaurant & consumer data,Multivariate , , ,138 ,47 ,2012 
225,CNAE-9,"Multivariate, Text ",Classification ,Integer ,1080 ,857 ,2012 
226,Individual household electric power consumption,"Multivariate, Time-Series ","Regression, Clustering ",Real ,2075259 ,9 ,2012 
227,seeds,Multivariate ,"Classification, Clustering ",Real ,210 ,7 ,2012 
228,Northix,"Multivariate, Univariate, Text ",Classification ,"Integer, Real ",115 ,200 ,2012 
229,QtyT40I10D100K,Sequential , ,Integer ,3960456 ,4 ,2012 
230,Legal Case Reports,Text ,Classification , , , ,2012 
231,Human Activity Recognition Using Smartphones,"Multivariate, Time-Series ","Classification, Clustering ", ,10299 ,561 ,2012 
232,One-hundred plant species leaves data set, ,Classification ,Real ,1600 ,64 ,2012 
233,Energy efficiency,Multivariate ,"Classification, Regression ","Integer, Real ",768 ,8 ,2012 
234,Yacht Hydrodynamics,Multivariate ,Regression ,Real ,308 ,7 ,2013 
235,Fertility,Multivariate ,"Classification, Regression ",Real ,100 ,10 ,2013 
236,Daphnet Freezing of Gait,"Multivariate, Time-Series ",Classification ,Real ,237 ,9 ,2013 
237,"3D Road Network (North Jutland, Denmark)","Sequential, Text ","Regression, Clustering ",Real ,434874 ,4 ,2013 
238,ISTANBUL STOCK EXCHANGE,"Multivariate, Univariate, Time-Series ","Classification, Regression ",Real ,536 ,8 ,2013 
239,Buzz in social media,"Time-Series, Multivariate ","Regression, Classification ","Integer, Real ",140000 ,77 ,2013 
240,First-order theorem proving,Multivariate ,Classification ,Real ,6118 ,51 ,2013 
241,Wearable Computing: Classification of Body Postures and Movements (PUC-Rio),Sequential ,Classification ,"Integer, Real ",165632 ,18 ,2013 
242,Gas sensor arrays in open sampling settings,"Multivariate, Time-Series ",Classification ,Real ,18000 ,1950000 ,2013 
243,Climate Model Simulation Crashes,Multivariate ,Classification ,Real ,540 ,18 ,2013 
244,MicroMass,Multivariate ,Classification ,Real ,931 ,1300 ,2013 
245,QSAR biodegradation,Multivariate ,Classification ,"Integer, Real ",1055 ,41 ,2013 
246,BLOGGER,Multivariate ,Classification , ,100 ,6 ,2013 
247,Daily and Sports Activities,"Multivariate, Time-Series ","Classification, Clustering ",Real ,9120 ,5625 ,2013 
248,User Knowledge Modeling,Multivariate ,"Classification, Clustering ",Integer ,403 ,5 ,2013 
249,"Reuters RCV1 RCV2 Multilingual, Multiview Text Categorization Test collection",Multivariate ,Classification ,Real ,111740 , ,2013 
